market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice,year,month,day,market_cleaned,distance_from_center,market_encoded,cluster,category_encoded,commodity_encoded,quantity,unit_type,standardized_unit,standardized_price,pricetype_encoded
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,820,14.1623,2003,5,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,8.2,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1360,23.4888,2003,6,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,13.6,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,857.5,14.81,2003,6,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,8.575,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1385,23.8058,2003,7,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,13.85,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,872,14.9882,2003,7,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,8.72,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1419,24.2779,2003,8,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,14.19,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,875,14.9705,2003,8,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,8.75,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1391,23.8105,2003,9,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,13.91,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,901.25,15.4272,2003,9,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.0125,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1398,23.9252,2003,10,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,13.98,1
